codigo,nome,sigla,codigoCapital
11,Rondônia,RO,1100205
12,Acre,AC,1200401
13,Amazonas,AM,1302603
14,Roraima,RR,1400100
15,Pará,PA,1501402
16,Amapá,AP,1600303
17,Tocantins,TO,1721000
21,Maranhão,MA,2111300
22,Piauí,PI,2211001
23,Ceará,CE,2304400
24,Rio Grande do Norte,RN,2408102
25,Paraíba,PB,2507507
26,Pernambuco,PE,2611606
27,Alagoas,AL,2704302
28,Sergipe,SE,2800308
29,Bahia,BA,2927408
31,Minas Gerais,MG,3106200
32,Espírito Santo,ES,3205309
33,Rio de Janeiro,RJ,3304557
35,São Paulo,SP,3550308
41,Paraná,PR,4106902
42,Santa Catarina,SC,4205407
43,Rio Grande do Sul,RS,4314902
50,Mato Grosso do Sul,MS,5002704
51,Mato Grosso,MT,5103403
52,Goiás,GO,5208707
53,Distrito Federal,DF,5300108
